Asset,Unit ID,Alias,GLA,Floor,Status,Unit Type
Marina Shopping ,C1-011,Local,137.2,RDC Bas,Available,Long term
Marina Shopping ,C1-005,Local,76.4,RDC Bas,Available,Long term
Marina Shopping ,C1-163,Local,163.28,RDC Bas,Available,Long term
Marina Shopping ,C1-123,Local,85.1,RDC Bas,Available,Long term
Marina Shopping ,C1-015,Local,76,RDC Bas,Available,Long term
Marina Shopping ,C1-175,Local,34.6,RDC Bas,Available,Long term
Marina Shopping ,C1-121,Local,81.4,RDC Bas,Available,Long term
Marina Shopping ,C1-008,Local,35,RDC Bas,Available,Long term
Marina Shopping ,C1-155,Local,130,RDC Bas,Available,Long term
Marina Shopping ,C1-173,Local,39.6,RDC Bas,Available,Long term
Marina Shopping ,C1-031,Local,608,RDC Bas,Available,Long term
Marina Shopping ,C1-003,Local,625.1,RDC Bas,Available,Long term
Marina Shopping ,L1-025,Local,1301.8,RDC Bas,Available,Long term
Marina Shopping ,C1-125,Local,86.7,RDC Bas,Available,Long term
Marina Shopping ,C1-115,Local,77.9,RDC Bas,Available,Long term
Marina Shopping ,C1-177,Local,35.3,RDC Bas,Available,Long term
Marina Shopping ,L1-061,Local,986.9,RDC Bas,Available,Long term
Marina Shopping ,C1-157,Local,132,RDC Bas,Available,Long term
Marina Shopping ,C1-017,Local,22.40,RDC Bas,Available,Long term
Marina Shopping ,C1-031_bis,Local,98,RDC Bas,Available,Long term
Marina Shopping ,L1-083_bis,Local,1289,RDC Bas,Available,Long term
Marina Shopping ,C1-041,Local,100,RDC Bas,Available,Long term
Marina Shopping ,C1-049,Local,478.9,RDC Bas,Available,Long term
Marina Shopping ,C1-165_bis,Local,163,RDC Bas,Available,Long term
Marina Shopping ,C1-153,Local,99.6,RDC Bas,Available,Long term
Marina Shopping ,C1-139,Local,79.4,RDC Bas,Available,Long term
Marina Shopping ,C1-111,Local,57.9,RDC Bas,Available,Long term
Marina Shopping ,C1-091,Local,738,RDC Bas,Available,Long term
Marina Shopping ,C1-119,Local,119.5,RDC Bas,Available,Long term
Marina Shopping ,L1-083_bis,Local,740,RDC Bas,Available,Long term
Marina Shopping ,C1-007,Local,36.1,RDC Bas,Available,Long term
Marina Shopping ,L1-001,Local,6577.2,RDC Bas,Available,Long term
Marina Shopping ,C1-045,Local,156.9,RDC Bas,Available,Long term
Marina Shopping ,C1-110,Local,28,RDC Bas,Available,Long term
Marina Shopping ,C1-171,Local,96.7,RDC Bas,Available,Long term
Marina Shopping ,C1-169,Local,165,RDC Bas,Available,Long term
Marina Shopping ,C1-141,Local,102,RDC Bas,Available,Long term
Marina Shopping ,C1-143,Local,80.3,RDC Bas,Available,Long term
Marina Shopping ,C1-023,Local,58.10,RDC Bas,Available,Long term
Marina Shopping ,C1-109,Local,2023.7,RDC Bas,Available,Long term
Marina Shopping ,C1-039,Local,456.4,RDC Bas,Available,Long term
Marina Shopping ,C1-137,Local,67.1,RDC Bas,Available,Long term
Marina Shopping ,C1-013,Local,36.4,RDC Bas,Available,Long term
Marina Shopping ,C1-013_bis,Local,35.6,RDC Bas,Available,Long term
Marina Shopping ,C1-055,Local,1432.2,RDC Bas,Available,Long term
Marina Shopping ,C1-159,Local,120.8,RDC Bas,Available,Long term
Marina Shopping ,C1-176,Local,35,RDC Bas,Available,Long term
Marina Shopping ,C1-161,Local,152.12,RDC Bas,Available,Long term
Marina Shopping ,C1-071,Local,48.3,RDC Bas,Available,Long term
Marina Shopping ,C1-105,Local,143,RDC Bas,Available,Long term
Marina Shopping ,C1-040,Local,200,RDC Bas,Available,Long term
Marina Shopping ,C1-151,Local,66.3,RDC Bas,Available,Long term
Marina Shopping ,C1-067,Local,23.5,RDC Bas,Available,Long term
Marina Shopping ,C1-127,Local,75.7,RDC Bas,Available,Long term
Marina Shopping ,C1-101,Local,91.6,RDC Bas,Available,Long term
Marina Shopping ,C1-021,Local,46.40,RDC Bas,Available,Long term
Marina Shopping ,C1-019,Local,46.40,RDC Bas,Available,Long term
Marina Shopping ,C1-065,Local,23.7,RDC Bas,Available,Long term
Marina Shopping ,C1-069,Local,28.8,RDC Bas,Available,Long term
Marina Shopping ,C1-103,Local,78.6,RDC Bas,Available,Long term
Marina Shopping ,C1-174,Local,35.7,RDC Bas,Available,Long term
Marina Shopping ,C1-165,Local,163,RDC Bas,Available,Long term
Marina Shopping ,C1-131,Local,150,RDC Bas,Available,Long term
Marina Shopping ,C2-123,Local,33.8,RDC Haut,Available,Long term
Marina Shopping ,L2-051,Local,1235,RDC Haut,Available,Long term
Marina Shopping ,C2-201,Local,36.2,RDC Haut,Available,Long term
Marina Shopping ,R2-011,Local,133.1,RDC Haut,Available,Long term
Marina Shopping ,R2-171,Local,30.5,RDC Haut,Available,Long term
Marina Shopping ,R2-159,Local,40.4,RDC Haut,Available,Long term
Marina Shopping ,R2-174,Local,86.6,RDC Haut,Available,Long term
Marina Shopping ,R2-017,Local,138,RDC Haut,Available,Long term
Marina Shopping ,C2-129,Local,133.2,RDC Haut,Available,Long term
Marina Shopping ,R2-168,Local,36.1,RDC Haut,Available,Long term
Marina Shopping ,R2-156,Local,40.4,RDC Haut,Available,Long term
Marina Shopping ,R2-160,Local,40.6,RDC Haut,Available,Long term
Marina Shopping ,R2-161,Local,50.5,RDC Haut,Available,Long term
Marina Shopping ,R2-027,Local,104.2,RDC Haut,Available,Long term
Marina Shopping ,C2-196,Local,35.3,RDC Haut,Available,Long term
Marina Shopping ,C2-089,Local,1353.5,RDC Haut,Available,Long term
Marina Shopping ,R2-158,Local,37.3,RDC Haut,Available,Long term
Marina Shopping ,R2-151,Local,88.4,RDC Haut,Available,Long term
Marina Shopping ,R2-001,Local,279.8,RDC Haut,Available,Long term
Marina Shopping ,C2-130,Local,544,RDC Haut,Available,Long term
Marina Shopping ,C2-057,Local,19.4,RDC Haut,Available,Long term
Marina Shopping ,R2-157,Local,44.7,RDC Haut,Available,Long term
